survey_datetime,survey_start,survey_end,encounter_datetime,survey_id,agency,catch_area_code,catch_result_type_code,common_name,adipose_clip_status_code,latitude_decimal_degrees_wgs84,longitude_decimal_degrees_wgs84,individual_fish_id,target_species
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:52:29Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Sablefish,UN,47.73862,-122.450812,7536CDD2-BF84-44B2-99A6-1B767504C05C,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T08:59:46Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.740244,-122.448613,A86B967B-CF7D-4EE8-B65F-01084682487E,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:00:21Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.740454,-122.448135,F927F6EB-EE47-40A2-9120-F0F7595FD648,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:01:41Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Unknown salmon (includes fillets),UN,47.740732,-122.447128,E93C360B-6993-4AF2-9FDA-15E3B65A37A8,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:07:30Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.741414,-122.443884,640DFD7D-3C18-4095-9433-7F66327594EF,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:11:10Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Sablefish,UN,47.741182,-122.447159,76E237BA-0F51-4F79-B011-657F2C9BB585,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:11:49Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Sablefish,UN,47.740907,-122.447678,AC0A32F4-047D-4758-97E6-D34B87F196BA,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:16:31Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.740002,-122.451012,25360C69-4610-4161-8B0C-EDD9F56F932C,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:21:26Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.737637,-122.452114,3B2DE7B0-66FE-435D-9D2A-091CD9FFA3C7,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:22:38Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.737741,-122.453118,E52F898E-B3CA-4667-9231-DDF4A3E1150C,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:27:23Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.736611,-122.457214,454E3091-1153-4D12-863C-F8E984C2D798,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:30:35Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.736451,-122.460552,2747AAE1-218E-42FA-B23B-BDAD79E0592A,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:33:52Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.736266,-122.461647,1705BAD5-98BA-4796-A77B-2C687D02C973,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:35:41Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.735979,-122.461536,5D003FE9-5C76-4DBB-88E6-FBCAFD584E59,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:52:09Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.738521,-122.450042,502CB307-B8E1-4AA1-B19C-5F7594A2A892,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:53:51Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.73884,-122.448876,A1831438-8521-46A6-BAAB-5A9DBB84CB00,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:55:18Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.739637,-122.449265,7D3E6635-872C-4B7A-974D-EB15A7D0DAF7,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T09:58:34Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.741138,-122.448225,D12672CE-F61C-4ACE-87B5-58F2926EF46D,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:07:04Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.743366,-122.44504,9DA868FD-9AB9-4D53-A3A8-676407582CD6,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:09:16Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Coho Salmon,UD,47.744204,-122.447261,EADC1852-D2FB-4CE5-8857-66B17E066706,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:12:33Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.743339,-122.448312,09432CCB-AE21-4AD8-B293-85B8697772EA,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:19:34Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.741816,-122.449179,16602A12-9507-426A-ABA2-1C9B15C9A105,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:21:07Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.740906,-122.448136,120C8FBE-62C5-49C0-9538-4AFA25A86AB3,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:24:29Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.740745,-122.447831,40E09DC3-F57E-4A41-9FCD-2239ED53EA39,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:25:15Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.740707,-122.447745,70A8D1C0-17C1-4CCD-8322-478914715A60,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:28:39Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.74047,-122.447377,28630FFE-B575-419C-8CD4-7F6477DA12CD,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:40:21Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.738955,-122.451946,1999F2EA-FE27-4630-A080-9F348989458D,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:42:42Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,AD,47.737966,-122.452891,9A4090A3-EA82-47CE-B367-A7F9FE9ED331,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:44:07Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.737804,-122.454406,4C3E2133-CB3D-43F9-929C-932B4029AB08,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:48:57Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.73732,-122.457199,7132D5EA-7485-4BBA-B13B-492ED8804E1A,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:55:04Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.737262,-122.452357,27126CB7-CCEE-4C15-85F7-C41159E3B17A,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T10:59:27Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.739175,-122.45099,F4D60DDE-3A66-4992-AA2C-FD602F623B9E,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:02:59Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.740309,-122.449263,38030460-4E60-4FAD-8CCA-A81435020857,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:21:42Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,UM,47.740806,-122.439618,9FA4CDA2-FF6B-45F7-B557-0DCF2BE25E07,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:27:04Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.73897,-122.443301,2A3CF23A-F990-4ED9-8380-401FF868078D,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:29:18Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Sablefish,UN,47.73904,-122.445443,66EDA79F-CA49-4A55-A8A5-10364CCBFBE2,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:33:00Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Sablefish,UN,47.739223,-122.448693,6B8F62E4-5CFF-48A6-AE11-87D25C70AFB8,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T11:38:38Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.739977,-122.451929,F9FFE814-E5A5-44EB-B9EC-E6F9FA71F7D2,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T12:11:27Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.73787,-122.45732,71F30E9E-04C7-4D25-B67D-BF491F8981C6,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T12:13:25Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.738431,-122.455877,F90F2149-68CB-4BB3-BB54-3DE80828C65A,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T12:18:57Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.740116,-122.451298,41CD6BE7-6849-44CA-AB6A-F5B011F9C894,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:24:39Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.734096,-122.461302,67FEF16B-DABC-4BF5-8B8A-4407A08AE6A8,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:25:51Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.733533,-122.460411,264D285F-70D1-448E-93FC-DC10250A4D42,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:28:48Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.734184,-122.457711,9317FD06-7A46-48C6-BCC1-D6F0CFFD2371,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:33:20Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.736427,-122.45473,3F45B376-910F-4EE3-8872-0A566D052499,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:38:21Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Coho Salmon,AD,47.737582,-122.449139,F8938AF2-5781-4300-AE07-A74E27EF867A,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:45:50Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.739456,-122.44234,10DC87F2-7A07-4A93-A7DF-FA3516769122,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:51:17Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,UM,47.738231,-122.445396,86284641-A570-4DEF-BF2E-6DAFB0A86CB5,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T13:53:21Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.739475,-122.445656,30C80A33-E58D-4BD6-B04A-7E57581D593E,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T14:00:57Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,DO,Chinook Salmon,UD,47.739414,-122.449095,B7B01929-AC4D-4B72-A8C6-47A5D5B57816,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T14:05:45Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.738536,-122.452916,B039A509-2E0F-428A-9A01-D033C6AF46D6,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T14:07:10Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.737943,-122.453877,25A99993-F061-4DDB-A49D-FF88C1639ABD,Chinook salmon
2024-11-25T00:00:00Z,2024-11-25T07:34:36Z,2024-11-25T14:33:00Z,2024-11-25T14:10:57Z,59876730-9ABB-429E-9273-12DF81838294,PSSP,10,R,Chinook Salmon,AD,47.737242,-122.453568,17718B19-F2C1-464A-A456-1763C77D2E7B,Chinook salmon
